,,,
CDW,CDW,Information Technology,0.000113224786964
VRSK,Verisk Analytics,Industrials,0.000113750893362
TJX,TJX Companies,Consumer Discretionary,0.000983345158135
CI,Cigna,Health Care,0.001102203427249
AOS,A. O. Smith,Industrials,0.001592473879253
TFC,Truist Financial,Financials,0.004498997104162
AAPL,Apple,Information Technology,0.006766934943765
LUV,Southwest Airlines,Industrials,0.007632925140243
TRV,The Travelers Companies,Financials,0.008695657287746
DPZ,Domino's Pizza,Consumer Discretionary,0.013038323506921
SPG,Simon Property Group,Real Estate,0.013207083325164
POOL,Pool Corporation,Consumer Discretionary,0.013395706811591
AMT,American Tower,Real Estate,0.013613081309988
MGM,MGM Resorts International,Consumer Discretionary,0.01412837891961
WDC,Western Digital,Information Technology,0.014884071361048
ZION,Zions Bancorp,Financials,0.024247255963711
DISCA,Discovery (Series A),Communication Services,0.028004501742367
CDNS,Cadence Design Systems,Information Technology,0.034032167506073
DE,Deere & Co.,Industrials,0.03534811376398
SEE,Sealed Air,Materials,0.037249216425003
TT,Trane Technologies,Industrials,0.037467999410024
MKC,McCormick & Company,Consumer Staples,0.039502549261306
LIN,Linde,Materials,0.040102353897835
TROW,T. Rowe Price,Financials,0.044214054261465
AVGO,Broadcom,Information Technology,0.044725525169894
VMC,Vulcan Materials,Materials,0.048810732859132
FBHS,Fortune Brands Home & Security,Industrials,0.049955264391586
AXP,American Express,Financials,0.050899033839893
FAST,Fastenal,Industrials,0.05187132278526
TWTR,Twitter,Communication Services,0.053550872818733
PFG,Principal Financial Group,Financials,0.054160255914238
TMUS,T-Mobile US,Communication Services,0.055323181657624
GM,General Motors,Consumer Discretionary,0.055665279089112
DOW,Dow,Materials,0.061155938730318
TRMB,Trimble,Information Technology,0.061857030175413
CMS,CMS Energy,Utilities,0.062984725906856
FLT,Fleetcor,Information Technology,0.064531335216766
AON,Aon,Financials,0.06532870498968
CTVA,Corteva,Materials,0.066479749253291
SNPS,Synopsys,Information Technology,0.068116723109608
UNH,UnitedHealth Group,Health Care,0.069173898127021
CAG,Conagra Brands,Consumer Staples,0.073118483831165
PLD,Prologis,Real Estate,0.07435408996688
DAL,Delta Air Lines,Industrials,0.075112794448651
BLK,BlackRock,Financials,0.076522486458653
BMY,Bristol Myers Squibb,Health Care,0.076859456129746
HD,Home Depot,Consumer Discretionary,0.085067895888531
VRSN,Verisign,Information Technology,0.087545883048274
PEG,Public Service Enterprise Group,Utilities,0.088159355364677
KIM,Kimco Realty,Real Estate,0.088336884804436
CPRT,Copart,Industrials,0.088337559141277
KMB,Kimberly-Clark,Consumer Staples,0.089243248370619
VTRS,Viatris,Health Care,0.090750525734377
ACN,Accenture,Information Technology,0.091954388980913
GOOGL,Alphabet (Class A),Communication Services,0.093668175842859
CBOE,Cboe Global Markets,Financials,0.093777940288184
BSX,Boston Scientific,Health Care,0.094409008537059
